Timestamp,COMP_SCI 110: Intro to Computer Programming,COMP_SCI 111: Fundamentals of Computer Programming I,COMP_SCI 150: Fundamentals of Computer Programming 1.5,COMP_ENG 203: Intro to Computer Engineering,COMP_ENG 205: Fundamentals of Computer System Software,COMP_SCI 211: Fundamentals of Computer Programming II,COMP_SCI 212: Mathematical Foundations of Computer Science,COMP_SCI 213: Intro to Computer Systems,COMP_SCI 214: Data Structures and Algorithms,COMP_SCI 217: Data Management and Information Processing,COMP_SCI 301: Introduction to Robotics Laboratory,"COMP_SCI 315, 415: Design, Technology, and Research",COMP_SCI 321: Programming Languages,COMP_SCI 322: Compiler Construction,COMP_SCI 329: HCI Studio,COMP_SCI 336: Design & Analysis of Algorithms,COMP_SCI 339: Intro to Databases,COMP_SCI 340: Introduction to Computer Networking,COMP_ENG 346: Microprocessor System Design,COMP_SCI 348: Intro to Artificial Intelligence,COMP_SCI 349: Machine Learning,COMP_SCI 351-1: Intro to Computer Graphics,COMP_SCI 354: Computer System Security,COMP_ENG 362: Computer Architecture Project,COMP_SCI 371: Knowledge Representation and Reasoning,COMP_SCI 377: Game Development Studio,COMP_SCI 388: Software Engineering Beyond Programming,COMP_SCI 394: Agile Software Development,"COMP_SCI 396, 496: Artificial Life",COMP_SCI 396: Introduction to Computational Linguistics,COMP_SCI 396: Full Stack Software Engineering,COMP_SCI 396: Responsible Software Engineering,"COMP_SCI 396, 496: Data Management Seminar","COMP_SCI 396, 496: Foundations of Quantum Computing and Quantum Information","COMP_SCI 396, 496: Programming Languages Seminar","COMP_SCI 396, 496: NUVention Media","COMP_SCI 396, 496: CS Education Research in the Community","COMP_SCI 396, 496: Computing, Ethics, and Society",COMP_SCI 397: Computer Science Education,"COMP_SCI 397, 497: Multimodal learning analytics and interaction analysis","COMP_SCI 397, 497: (Special Topics) Innovation in Journalism & Technology",COMP_SCI 445: Internet-scale Experimentation,COMP_SCI 449: Deep Learning,COMP_SCI 450: Internet Security,COMP_ENG 452: Advanced Computer Architecture I,COMP_SCI 496: Generative Deep Models,COMP_SCI 496: Advanced Topics in Modern Cryptography,COMP_SCI 497: Explanation and reproducibility in data-driven science,UniqueID
12/10/23 12:21,,1,2,3,3,2,1,3,2,,,,,,,,,,,5,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,student-1
11/17/23 14:35,,,,,,,,,,,,,,,,3,,3,,,4,,,,,3,,2,,5,,,,,,,,,,,,,5,,,5,,,FAIR-02557 
11/22/23 9:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,FAIR-02558
11/22/23 9:47,,,,,,,,,,,5,,3,1,,2,3,,1,3,4,4,4,2,1,,2,3,1,1,4,2,2,3,3,2,1,2,1,2,1,2,3,4,2,2,2,2,FAIR-02559
11/22/23 9:48,,,,,,,,,,2,2,5,,,1,4,3,3,,,,3,5,,2,1,4,4,3,5,5,4,4,5,4,,3,3,,,,,,,,5,,3,FAIR-02561
11/22/23 9:48,1,1,1,1,1,1,5,5,1,1,1,3,3,4,5,2,2,1,1,3,4,1,1,1,1,4,1,4,4,2,3,2,2,1,1,1,5,5,5,1,4,2,2,3,2,2,2,2,FAIR-02562
11/22/23 9:50,,,5,,,4,4,3,4,,3,,,,,,,,,3,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,FAIR-02563
11/16/23 13:28,1,1,1,1,2,2,2,,2,1,3,2,2,1,2,1,2,2,1,2,3,1,1,1,2,3,3,3,2,2,2,2,1,3,2,1,1,2,1,2,1,1,2,1,1,2,2,1,student-s
11/22/23 9:51,,,,,,,,,,,,,,,,3,2,1,1,,,,2,,,,2,2,,,3,3,,,,,2,5,3,,,,2,2,,,,,FAIR-02564
11/22/23 9:52,2,5,5,5,5,5,4,4,5,2,5,5,4,3,3,4,3,3,3,5,4,4,4,5,4,5,5,4,4,4,4,5,3,4,3,4,4,4,5,4,5,4,4,4,4,4,4,4,FAIR-02565
11/22/23 9:54,2,5,5,2,3,5,4,4,4,4,3,2,2,2,2,2,2,3,1,4,2,1,4,3,2,2,3,1,2,3,1,2,1,3,2,1,2,2,1,1,1,1,3,4,3,1,4,2,FAIR-02567
